GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rides24,com.objectdb.o,AGN.aR,25,0,4,0,7,0,5,0,3,0
Rides24,com.objectdb.o,AGN.aS,9,0,0,0,3,0,1,0,1,0
Rides24,com.objectdb.o,GMD,249,0,20,0,51,0,22,0,12,0
Rides24,com.objectdb.o,_PessimisticLockException,28,0,0,0,11,0,5,0,5,0
Rides24,com.objectdb.o,TFM,229,0,26,0,61,0,18,0,5,0
Rides24,com.objectdb.o,UTV.n,32,0,0,0,11,0,4,0,4,0
Rides24,com.objectdb.o,IPW,201,0,24,0,48,0,17,0,5,0
Rides24,com.objectdb.o,RAT,108,0,10,0,29,0,9,0,4,0
Rides24,com.objectdb.o,VIX,210,0,32,0,60,0,22,0,6,0
Rides24,com.objectdb.o,TEX,17,0,0,0,4,0,2,0,2,0
Rides24,com.objectdb.o,MXV,41,0,4,0,16,0,11,0,9,0
Rides24,com.objectdb.o,IPC,298,0,31,0,54,0,22,0,6,0
Rides24,com.objectdb.o,MXL,109,0,10,0,29,0,11,0,6,0
Rides24,com.objectdb.o,IXM.Mode,34,0,0,0,4,0,1,0,1,0
Rides24,com.objectdb.o,STN.ay,36,0,0,0,11,0,3,0,3,0
Rides24,com.objectdb.o,DateNode,166,0,25,0,50,0,22,0,3,0
Rides24,com.objectdb.o,STN.ax,32,0,0,0,10,0,4,0,4,0
Rides24,com.objectdb.o,XMN,795,0,96,0,187,0,89,0,40,0
Rides24,com.objectdb.o,STN.az,50,0,2,0,14,0,4,0,3,0
Rides24,com.objectdb.o,XMB,772,0,129,0,181,0,78,0,7,0
Rides24,com.objectdb.o,XMA,63,0,0,0,17,0,8,0,8,0
Rides24,com.objectdb.o,KSW,43,0,2,0,11,0,7,0,6,0
Rides24,com.objectdb.o,XMD,283,0,14,0,68,0,21,0,14,0
Rides24,com.objectdb.o,IOM,240,0,28,0,47,0,23,0,9,0
Rides24,com.objectdb.o,CCH,297,0,40,0,81,0,33,0,13,0
Rides24,com.objectdb.o,QRM.w,9,0,0,0,2,0,2,0,2,0
Rides24,com.objectdb.o,_TransactionRequiredException,25,0,0,0,10,0,5,0,5,0
Rides24,com.objectdb.o,JtaManagerFactory,189,0,8,0,33,0,7,0,3,0
Rides24,com.objectdb.o,RSL.s,18,0,0,0,6,0,4,0,4,0
Rides24,com.objectdb.o,AFT,51,0,6,0,10,0,7,0,4,0
Rides24,com.objectdb.o,GRP,231,0,16,0,47,0,17,0,9,0
Rides24,com.objectdb.o,STN.aH,63,0,6,0,18,0,6,0,3,0
Rides24,com.objectdb.o,STN.aG,95,0,8,0,22,0,8,0,4,0
Rides24,com.objectdb.o,STN.aF,160,0,28,0,41,0,20,0,5,0
Rides24,com.objectdb.o,ENT,1882,0,326,0,488,0,244,0,81,0
Rides24,com.objectdb.o,STN.aA,98,0,12,0,23,0,11,0,5,0
Rides24,com.objectdb.o,TKS,28,0,0,0,7,0,4,0,4,0
Rides24,com.objectdb.o,ENH,411,0,66,0,136,0,43,0,10,0
Rides24,com.objectdb.o,VOW,40,0,2,0,14,0,11,0,10,0
Rides24,com.objectdb.o,STN.aE,28,0,0,0,9,0,3,0,3,0
Rides24,com.objectdb.o,STN.aD,28,0,0,0,9,0,3,0,3,0
Rides24,com.objectdb.o,IVP,97,0,4,0,32,0,14,0,12,0
Rides24,com.objectdb.o,STN.aC,94,0,6,0,21,0,7,0,4,0
Rides24,com.objectdb.o,STN.aB,28,0,0,0,9,0,3,0,3,0
Rides24,com.objectdb.o,TKN,684,0,85,0,164,0,78,0,35,0
Rides24,com.objectdb.o,TKR,1860,0,300,0,407,0,184,0,16,0
Rides24,com.objectdb.o,EMT,96,0,4,0,32,0,14,0,12,0
Rides24,com.objectdb.o,TKI,291,0,50,0,82,0,44,0,14,0
Rides24,com.objectdb.o,VOB,399,0,58,0,85,0,44,0,15,0
Rides24,com.objectdb.o,_IllegalArgumentException,39,0,2,0,13,0,7,0,6,0
Rides24,com.objectdb.o,EMP,47,0,0,0,14,0,8,0,8,0
Rides24,com.objectdb.o,EMR,417,0,52,0,108,0,32,0,6,0
Rides24,com.objectdb.o,GQI,352,0,52,0,87,0,30,0,4,0
Rides24,com.objectdb.o,UPR.c,6,0,0,0,3,0,1,0,1,0
Rides24,com.objectdb.o,UPR.d,24,0,0,0,7,0,2,0,2,0
Rides24,com.objectdb.o,EMI,11,0,0,0,4,0,4,0,4,0
Rides24,com.objectdb.o,UPR.e,16,0,0,0,6,0,2,0,2,0
Rides24,com.objectdb.o,RFV,273,0,28,0,69,0,31,0,17,0
Rides24,com.objectdb.o,PBI,173,0,14,0,35,0,13,0,6,0
Rides24,com.objectdb.o,RFM,387,0,20,0,106,0,26,0,16,0
Rides24,com.objectdb.o,ITW,36,0,2,0,12,0,6,0,5,0
Rides24,com.objectdb.o,CHT,107,0,14,0,24,0,16,0,8,0
Rides24,com.objectdb.o,ELV,57,0,0,0,16,0,8,0,8,0
Rides24,com.objectdb.o,CHV,65,0,8,0,18,0,12,0,8,0
Rides24,com.objectdb.o,InternalException,192,0,10,0,50,0,17,0,12,0
Rides24,com.objectdb.o,ADL,704,0,14,0,163,0,26,0,19,0
Rides24,com.objectdb.o,PAN,56,0,4,0,18,0,8,0,6,0
Rides24,com.objectdb.o,PAP,124,0,2,0,30,0,16,0,15,0
Rides24,com.objectdb.o,PAR,99,0,12,0,27,0,19,0,13,0
Rides24,com.objectdb.o,CHE,13,0,0,0,5,0,4,0,4,0
Rides24,com.objectdb.o,_JdoFatalDataStoreException,26,0,0,0,10,0,5,0,5,0
Rides24,com.objectdb.o,ELI,114,0,12,0,25,0,9,0,3,0
Rides24,com.objectdb.o,InvToManyLoadRequest,3,0,0,0,1,0,1,0,1,0
Rides24,com.objectdb.o,REG,1411,0,196,0,376,0,143,0,45,0
Rides24,com.objectdb.o,PAG,1458,0,108,0,310,0,129,0,75,0
Rides24,com.objectdb.o,ACN,54,0,4,0,20,0,15,0,13,0
Rides24,com.objectdb.o,UserException,91,0,8,0,26,0,15,0,11,0
Rides24,com.objectdb.o,XQI,28,0,2,0,12,0,5,0,4,0
Rides24,com.objectdb.o,ISP,134,0,8,0,42,0,22,0,18,0
Rides24,com.objectdb.o,ACL,116,0,8,0,32,0,8,0,4,0
Rides24,com.objectdb.o,NTS,318,0,24,0,87,0,34,0,22,0
Rides24,com.objectdb.o,LPS,133,0,10,0,24,0,8,0,3,0
Rides24,com.objectdb.o,NTN,42,0,6,0,11,0,6,0,3,0
Rides24,com.objectdb.o,NTC,23,0,0,0,2,0,2,0,2,0
Rides24,com.objectdb.o,_IllegalStateException,27,0,0,0,10,0,5,0,5,0
Rides24,com.objectdb.o,FCL,311,0,24,0,79,0,18,0,6,0
Rides24,com.objectdb.o,LOM,111,0,12,0,28,0,11,0,5,0
Rides24,com.objectdb.o,FAP,133,0,2,0,29,0,8,0,7,0
Rides24,com.objectdb.o,HEP,259,0,34,0,63,0,24,0,7,0
Rides24,com.objectdb.o,LMT,29,0,4,0,9,0,9,0,7,0
Rides24,com.objectdb.o,UFT,594,0,82,0,133,0,47,0,6,0
Rides24,com.objectdb.o,SBI,92,0,10,0,23,0,10,0,5,0
Rides24,com.objectdb.o,ServerTrayIcon.new MouseAdapter() {...},12,0,2,0,4,0,3,0,2,0
Rides24,com.objectdb.o,FHN,1161,0,162,0,273,0,100,0,15,0
Rides24,com.objectdb.o,JPW,785,0,70,0,194,0,56,0,21,0
Rides24,com.objectdb.o,JPM,1069,0,134,0,240,0,80,0,13,0
Rides24,com.objectdb.o,LTN,165,0,16,0,40,0,17,0,9,0
Rides24,com.objectdb.o,JPE,312,0,66,0,58,0,37,0,4,0
Rides24,com.objectdb.o,DCT,176,0,29,0,42,0,29,0,8,0
Rides24,com.objectdb.o,DCV,650,0,109,0,154,0,88,0,29,0
Rides24,com.objectdb.o,PageCacheFile,174,0,8,0,37,0,13,0,9,0
